scenario_id,需求总体系数,平均容量系数,平均电价系数,平均绿电系数,成本优先_现金成本_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_任务完成率_%,成本优先_SLA满足率_%,协同_现金成本_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_任务完成率_%,协同_SLA满足率_%,协同_绿电占比_%,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%
1,1.0396540552227822,1.0494609977096347,0.9866109048252457,1.1431486231746293,583.3501007050115,644.7639191091417,644.7639191091417,966.1921415638329,100.0,100.0,596.71873037087,217.93104635152687,621.8877225050277,227.57027485314558,100.0,100.0,76.4742559457402,0.07500100400011434,2.2916992128229303,66.19986945723666,3.5479957742861403,76.44668538860074
2,0.9537650826505553,1.0295525373227667,0.9974785080905313,1.0638344576570224,535.4118825088503,562.8775970907164,562.8775970907164,891.5726546465447,100.0,100.0,547.0707699993525,176.95865738557683,521.4920723338946,205.57213193035264,100.0,100.0,77.07731452181099,0.15411745800065546,2.17755486409277,68.56178709186446,7.3524910159378605,76.94275044675415
3,0.8714080112718664,1.0231337101247853,1.0068163357817679,1.105045623559545,455.34086981819655,471.96622401756855,471.96622401756855,816.4109851912085,100.00000000000001,100.00000000000001,460.5418989414592,158.31526875613423,455.65303471902723,197.38696258708111,100.00000000000001,100.00000000000001,75.8537170685594,0.22291195599973435,1.1422276074930937,66.45622913256584,3.4564315131868573,75.82259840111634
4,1.1021250584822422,1.009002959225177,0.989836922395249,0.9795376503648552,636.0216933123592,717.1583350543686,717.1583350543686,1029.2234724080627,100.0,100.0,643.5620989836016,331.2694989350357,710.7645598106253,351.90786556141603,100.0,100.0,65.82654727070607,0.08134081900061574,1.18555793780751,53.80803893049339,0.891543043037855,65.80841041857887
5,0.9302603678493201,0.9841653388673068,1.0194932895307303,1.0600514104856364,528.6336305599917,560.4718769848731,560.4718769848731,864.0855367206559,100.0,100.0,537.9575466098464,170.89132418819904,530.3229855374092,188.89700673532218,100.0,100.0,78.16822986413892,0.1052450739998676,1.7637765573063684,69.5093846443233,5.37919790189181,78.13908476558736
6,0.9305601610745852,1.0195414638610443,1.0053847678551233,0.9217707990034518,499.2918921271957,524.8760557238073,524.8760557238073,867.1436309492406,100.0,100.0,515.3761579832831,198.65803135336446,503.6435164141017,301.24617758034196,100.0,100.0,65.34229770059105,0.11665264500061312,3.221415390416528,62.15143952805891,4.045248221587436,65.25994462410162
7,1.032968316153518,1.0072178593102246,1.0172249749522786,0.9823709274599117,611.5713200386169,654.8983820827794,654.8983820827794,965.2150208144567,99.99999999999997,99.99999999999997,621.0414111942305,266.0388637450939,652.6833395206141,310.83151947883294,99.99999999999997,99.99999999999997,67.80053240864817,0.06355044299925794,1.548485163597202,59.37707726517692,0.338226910123184,67.79665537979811
8,1.1432698814541307,1.020439774782938,0.9839677271895492,0.9510786790103121,658.8291528144515,762.5696388955636,762.5696388955636,1063.3037885108288,100.0,100.0,670.999836861345,356.1553575209469,747.2491390196016,408.10139282371466,100.0,100.0,61.590144459265865,0.049252079000325466,1.8473202035613563,53.295366173144544,2.009062398307757,61.619492262388526
9,1.0973669362850396,0.9784606168957102,1.0135860657256726,1.0060283549526856,632.7279141142667,700.4718320736954,700.4718320736954,1020.8204863276803,99.99999999999999,99.99999999999999,650.2316751608896,294.9643205728061,676.153823406877,344.6718222818371,99.99999999999999,99.99999999999999,66.25205706930653,0.06761019699933968,2.7663962117311995,57.89062356731949,3.4716611794119863,66.23580473764135
10,0.9454146948114469,0.967640153208826,1.0165707883698079,1.0087178526991942,550.0216941998045,589.8324484745403,589.8324484745403,877.4865199407715,100.0,100.0,557.0765825468343,213.89133286582518,582.5014680629552,227.36834783608577,100.0,100.0,74.11018724805123,0.09355778400004056,1.282656379089468,63.73693352764779,1.2428920162912374,74.08867912279352
11,1.1096664338556526,0.9787047145146885,0.996984936383274,0.9639003301261179,634.1343791872927,719.3857688980488,719.3857688980488,1027.988107579373,99.99999999999999,99.99999999999999,646.2405847993303,338.73496666695297,711.3286574542026,374.7263610642531,99.99999999999999,99.99999999999999,63.547653796126,0.050265626000509656,1.909091512677961,52.913307252960344,1.1199987256056043,63.54759765201664
12,0.9662630045324387,1.0358229103277046,0.989512480990455,1.0117226161887172,545.0086874992408,602.0096051391442,602.0096051391442,904.3239171740403,100.0,100.0,556.1305705667643,231.33518021566144,599.4779864773881,253.7967689474168,100.0,100.0,71.89289402981836,0.11349882400008937,2.040679960269261,61.57284231998387,0.42052795173775165,71.93519223283212
