压力测试,场景,参数值,协同_任务完成率_%,协同_SLA满足率_%,协同_现金成本_CNY,协同_单位成本_CNY_per_1000CU,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_绿电占比_%,协同_绿电利用率_%,协同_平均延迟_h,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳代理下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%,相对成本优先_绿电占比变化_pp,相对成本优先_SLA变化_pp
1_碳价压力,影子碳价=0.00元/kg,0.0,100.0,100.0,574.8743276993,143.01423680854293,626.841326895,626.841326895,930.0211524000001,0.0,0.0,0.9193845311839192,0.07109963800030528,0.0,-0.0,-0.0,-0.0,0.0,0.0
1_碳价压力,影子碳价=0.05元/kg,0.05,100.0,100.0,583.0578855686697,145.05009965138436,263.0497516481697,627.1370426550001,278.2167526905071,70.05583618770468,63.06459187377947,0.9071050078364056,0.07963434999965102,1.423538584880113,58.03567181009553,-0.04717553666490393,70.08490054526774,70.05583618770468,0.0
1_碳价压力,影子碳价=0.10元/kg,0.1,100.0,100.0,583.5127940943588,145.1632694216879,254.8739065763206,623.5728082950001,271.6109406113048,70.74644634912433,63.641944377440105,0.9071050078364056,0.09754791799969098,1.5026704061791623,59.339964415107296,0.5214267885287943,70.79518676425916,70.74644634912433,0.0
1_碳价压力,影子碳价=0.25元/kg,0.25,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.11824497199995676,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
1_碳价压力,影子碳价=0.50元/kg,0.5,100.0,100.0,594.1070959022924,147.7988645675778,216.11954202078127,595.85847312,240.1614213225246,74.19170151687459,66.89126123065367,0.9854790158469536,0.10094709399982094,3.345560460138074,65.52244838557321,4.942694816959603,74.17677859231834,74.19170151687459,0.0
1_碳价压力,影子碳价=1.00元/kg,1.0,100.0,100.0,625.1036169819024,155.51001740973268,152.75391364083006,585.7831919399999,183.2081165246826,80.32278127707059,72.458596220522,1.1648381720028858,0.2071022330001142,8.737438229956211,75.63116739646341,6.550004473760155,80.30065057639837,80.32278127707059,0.0
2_电价压力,电价×0.80,0.8,100.0,100.0,477.4856452351462,118.78638834618161,236.2223085905708,612.78004716,260.6893991231579,71.97777655294956,64.87679501545114,0.9078488444411276,0.08780060499975662,1.8345041692663806,62.66104441784933,3.1396860903901063,71.94854454570527,71.97777655294956,0.0
2_电价压力,电价×0.90,0.9,100.0,100.0,532.5900763562163,132.49498130612145,236.46443463057082,613.0935385199999,260.3779544831579,72.0102531784882,64.90374543982092,0.9071050078364056,0.12299719000020559,1.6481542124639545,62.33149805454143,2.3349317432491667,71.98935560541332,72.0102531784882,0.0
2_电价压力,电价×1.00,1.0,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.11666784000044572,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
2_电价压力,电价×1.10,1.1,100.0,100.0,639.6795211503918,159.13613482359176,247.65330905504737,620.1850740900001,266.3473361051552,71.33503522867527,64.21995637348735,0.9071050078364056,0.13030936599989218,2.6913059484769435,60.50216591425414,1.0876646375923713,71.36323639737006,71.33503522867527,0.0
